timestamp	open	high	low	close	volume
2019-10-14	225.07	238.1342	215.13	235.87	302381695
2019-09-30	206.43	226.42	204.22	223.97	542567100
2019-08-30	213.9	218.03	192.58	208.74	681081600
2019-07-31	203.17	221.37	198.41	213.04	473851700
2019-06-28	175.6	201.57	170.27	197.92	515218700
2019-05-31	209.88	215.31	174.99	175.07	739456600
2019-04-30	191.64	208.48	188.38	200.67	506117700
2019-03-29	174.28	197.69	169.5	189.95	650981400
2019-02-28	166.96	175.87	165.9333	173.15	472540600
2019-01-31	154.89	169.0	142.0	166.44	828087400
2018-12-31	184.46	184.94	146.59	157.74	898922500
2018-11-30	219.05	222.36	170.26	178.58	961326400
2018-10-31	227.95	233.47	206.09	218.86	789748500
2018-09-28	228.41	229.67	215.3	225.74	678972000
2018-08-31	199.13	228.87	197.31	227.63	700318900
2018-07-31	183.82	195.96	183.4135	190.29	393691400
2018-06-29	187.991	194.2	180.73	185.11	527624500
2018-05-31	166.41	190.37	165.27	186.87	620976300
2018-04-30	167.88	178.936	160.63	165.26	666154300
2018-03-29	178.54	183.5	164.94	167.78	713727700
2018-02-28	167.165	180.615	150.24	178.12	927894300
2018-01-31	170.16	180.1	164.7	167.43	659679400
2017-12-29	169.95	177.2	166.46	169.23	531183800
2017-11-30	169.87	176.24	165.28	171.85	600663400
2017-10-31	154.26	169.65	152.46	169.04	504291300
2017-09-29	164.8	164.94	149.16	154.12	680374100
2017-08-31	149.1	164.52	148.41	164.0	661069000
2017-07-31	144.88	153.99	142.41	148.73	422011900
2017-06-30	153.17	155.98	142.2	144.02	684178100
2017-05-31	145.1	156.6409	144.27	152.76	653981800
2017-04-28	143.71	145.46	140.06	143.65	373304100
2017-03-31	137.89	144.5	137.05	143.66	561628400
2017-02-28	127.03	137.48	127.01	136.99	574968600
2017-01-31	115.8	122.44	114.76	121.35	563122000
2016-12-30	110.365	118.017	108.25	115.82	608771700
2016-11-30	113.46	113.77	104.08	110.52	721555000
2016-10-31	112.71	118.69	112.28	113.54	686914300
2016-09-30	106.14	116.18	102.53	113.05	968015600
